table_code,city,table_nbr,place_let,gender,pol_interest ,occupation,partic_past,responsabilite_pol ,grand_débat,rens_pre_eco ,rens_pre_dem ,rens_pre_fis ,rens_pre_etat ,theme,int_pre_eco ,int_pre_dem ,int_pre_fis ,int_pre_etat ,int_post_eco ,int_post_dem ,int_post_fis ,int_post_etat ,know_pre_eco ,know_pre_dem ,know_pre_fis ,know_pre_etat ,know_post_eco ,know_post_dem ,know_post_fis ,know_post_etat ,cx_pre_eco ,cx_pre_dem ,cx_pre_fis ,cx_pre_etat ,cx_post_eco ,cx_post_dem ,cx_post_fis ,cx_post_etat ,conf_trans_pre ,conf_trans_post ,conf_prise_pre ,conf_prise_post ,temps_exp_pre,oser_pre,ecoute_pre,perso_pre,sincere_pre,diff_op_pre,revendic_pre,diff_consensus_pre,change_avis_pre,respect_pre,concret_pre,discuss_pre,desaccord_aime_pre,desaccord_stimule_pre,homogen_pre,confiance_pre,temps_exp_post,oser_post,ecoute_post,perso_post,sincere_post,diff_op_post,revendic_post,diff_consensus_post,change_avis_post,respect_post,concret_post,discuss_post,desaccord_aime_post,desaccord_stimule_post,homogen_post,confiance_post,chgt_avis,deplu_quali,surplis_quali,sat_level_gen,sat_level_rythme,sat_level_exp,sat_level_info,sat_level_qual,doubl,appris,systematisation,double_answer,theme_diff,
POI11,poitiers,11,e,1,8,agriculteur,0,0,0,3,1,3,0,TE,10,5,10,3,9,9,9,6,6,3,6,1,7,3,7,3,7,7,7,7,NA,NA,NA,NA,8,5,2,5,10,0,0,4,7,0,7,10,0,3,5,10,10,10,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"participant, moqueur, discretion, air, personne, comportement, gestuel","participant, facilitateur, qualite",8,8,8,5,9,9,7,5,0,0,
POI11,poitiers,11,f,1,6,emp_qualifie,0,0,1,3,3,2,6,TE,10,8,3,8,10,8,8,9,4,5,1,6,5,5,5,9,6,6,6,6,8,NA,NA,NA,4,5,4,5,4,0,5,1,10,8,0,7,2,7,4,10,6,10,2,5,3,1,5,0,10,5,4,6,1,9,6,10,6,5,1,5,NA,precipitation,"participant, motivation",8,8,8,5,9,9,6,8,0,0,
POI12,poitiers,12,a,0,8,ouv_non,0,0,0,0,0,0,0,TE,9,9,6,8,8,7,4,5,7,6,2,4,7,7,3,5,4,5,10,7,5,3,3,4,4,7,1,6,4,1,4,2,3,6,9,2,5,8,0,2,2,2,4,2,7,2,2,3,9,7,5,1,1,8,2,9,2,8,3,4,0,NA,"volonte, participant",3,3,8,5,8,8,7,9,0,0,
POI12,poitiers,12,c,1,4,cadre,0,0,0,0,0,0,0,TE,5,7,5,5,6,4,7,4,1,1,1,1,3,3,3,3,NA,NA,NA,NA,4,4,4,4,10,10,10,7,8,8,3,7,9,5,0,5,5,8,7,7,7,7,5,9,7,0,0,0,0,3,3,0,0,8,5,5,2,7,2,8,NA,journaliste,"facilitateur, bon, agreable, esprit, organisateur",10,10,10,9,9,NA,7,10,0,0,
POI12,poitiers,12,d,0,8,artisan,0,0,0,0,0,0,0,TE,7,8,10,5,8,5,8,6,2,2,5,2,6,6,8,6,5,5,5,5,4,5,4,8,8,10,8,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,0,1,0,8,8,8,0,0,8,8,8,5,8,0,5,0,court,"demarche, transparence",10,7,7,5,7,9,6,7,0,0,
POI12,poitiers,12,e,1,3,cadre,0,0,0,7,7,7,10,TE,4,8,7,9,8,8,8,8,5,8,5,10,7,8,5,10,10,10,10,10,10,10,10,10,8,10,8,10,10,2,8,5,5,8,1,4,5,5,7,5,8,6,6,7,10,0,4,5,8,8,5,0,4,4,5,8,3,8,6,5,0,"obtus, agressif, participant","question, facilite, pose, travail, complexite, methode, propose",10,10,10,7,7,10,7,5,0,0,
POI13,poitiers,13,a,1,8,artisan,0,0,1,5,5,5,5,ESP,6,6,5,8,9,8,8,8,5,4,5,6,6,6,6,8,5,5,5,5,7,7,6,8,7,8,7,9,6,1,5,8,3,8,5,6,6,5,8,8,3,6,2,7,8,7,3,3,7,3,5,1,1,7,7,9,3,5,2,8,0,NA,respect,9,8,9,8,9,10,8,9,0,0,
POI13,poitiers,13,b,1,9,retraite,2,1,1,9,7,4,4,ESP,8,8,8,8,8,8,8,8,9,7,5,7,9,7,6,8,5,7,5,7,2,3,3,3,7,7,7,7,4,5,3,3,7,7,3,7,3,7,6,6,7,7,5,7,9,2,2,2,9,2,5,2,2,9,5,7,7,5,6,6,0,"soutenu, necessite, rythme","travail, chose, aboutissement, accompli, concret",9,8,8,8,8,9,9,8,0,0,
POI13,poitiers,13,c,1,8,sans_emploi,2,0,0,10,5,5,5,ESP,10,5,4,8,10,8,8,9,8,6,5,8,9,5,NA,NA,5,5,5,5,3,5,4,2,3,6,7,6,5,0,1,8,9,8,8,5,9,5,2,9,5,8,3,4,9,1,1,1,9,9,8,7,7,9,6,8,3,8,3,7,1,"repas, vegetarien",bienveillance,9,8,9,9,9,10,8,9,0,0,
POI13,poitiers,13,d,NA,6,agriculteur,0,1,0,0,0,0,0,ESP,7,6,9,4,8,5,9,5,3,3,4,3,6,3,4,3,7,10,3,9,9,5,9,5,7,9,2,3,7,6,2,2,8,7,5,10,2,8,6,10,0,10,5,7,4,3,3,3,7,4,7,3,5,2,8,9,2,8,5,5,1,NA,"participant, competence, reel, global, echantillon, reflette, region, pays, population",8,7,8,8,8,8,8,8,0,0,
